Date : 2023-03-29 17:23:48
Directory : c:\Users\A Azi A\Documents\App\finance
Total : 108 files,  8815 codes, 900 comments, 1073 blanks, all 10788 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         78 |      8,061 |        764 |      1,003 |      9,828 |
| JSON            |          4 |        301 |          0 |          3 |        304 |
| XML             |         15 |        259 |         36 |         14 |        309 |
| Groovy          |          4 |        109 |          3 |         27 |        139 |
| YAML            |          1 |         50 |         96 |         12 |        158 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Swift           |          1 |         12 |          0 |          2 |         14 |
| Java Properties |          2 |          9 |          1 |          2 |         12 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        108 |      8,815 |        900 |      1,073 |     10,788 |
| . (Files)                                                                                                             |          2 |         60 |         96 |         19 |        175 |
| android                                                                                                               |         16 |        291 |         38 |         39 |        368 |
| android (Files)                                                                                                       |          4 |         45 |          0 |         12 |         57 |
| android\app                                                                                                           |         11 |        241 |         37 |         26 |        304 |
| android\app (Files)                                                                                                   |          2 |        139 |          3 |         16 |        158 |
| android\app\src                                                                                                       |          9 |        102 |         34 |         10 |        146 |
| android\app\src\debug                                                                                                 |          1 |          5 |          3 |          4 |         12 |
| android\app\src\main                                                                                                  |          7 |         92 |         28 |          4 |        124 |
| android\app\src\main (Files)                                                                                          |          1 |         35 |         10 |          4 |         49 |
| android\app\src\main\res                                                                                              |          6 |         57 |         18 |          0 |         75 |
| android\app\src\main\res\drawable                                                                                     |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-night                                                                               |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-night-v21                                                                           |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          9 |          0 |          0 |          9 |
| android\app\src\main\res\values                                                                                       |          1 |         11 |          9 |          0 |         20 |
| android\app\src\main\res\values-night                                                                                 |          1 |         10 |          9 |          0 |         19 |
| android\app\src\profile                                                                                               |          1 |          5 |          3 |          2 |         10 |
| android\gradle                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                   |         12 |        403 |          2 |         12 |        417 |
| ios\Flutter                                                                                                           |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                                            |          9 |        361 |          2 |          9 |        372 |
| ios\Runner (Files)                                                                                                    |          3 |         60 |          0 |          3 |         63 |
| ios\Runner.xcodeproj                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                              |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                 |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                                |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                                   |          1 |          8 |          0 |          1 |          9 |
| ios\Runner\Assets.xcassets                                                                                            |          4 |        233 |          0 |          5 |        238 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                  |          1 |         52 |          0 |          1 |         53 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         59 |          0 |          3 |         62 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                   |         78 |      8,061 |        764 |      1,003 |      9,828 |
| lib (Files)                                                                                                           |          1 |         67 |          6 |          8 |         81 |
| lib\extensions                                                                                                        |          1 |         71 |          3 |         14 |         88 |
