Date : 2023-03-29 17:24:21
Directory : c:\Users\A Azi A\Documents\App\finance\lib
Total : 78 files,  8061 codes, 764 comments, 1003 blanks, all 9828 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| shared\inputDecoration                                                                                 |          1 |         46 |          1 |          4 |         51 |
| shared\pageLoaders                                                                                     |         10 |        582 |          0 |         38 |        620 |
| shared\permissions                                                                                     |          1 |         42 |          0 |          8 |         50 |
| shared\printFunctions                                                                                  |          1 |         15 |          0 |          3 |         18 |
| shared\sample                                                                                          |          1 |         75 |          0 |         12 |         87 |
| shared\themes                                                                                          |          1 |        160 |          0 |         15 |        175 |
| shared\units                                                                                           |          1 |         26 |          0 |         22 |         48 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\A Azi A\Documents\App\finance\lib\extensions\stringExt.dart                                   | Dart     |         71 |          3 |         14 |         88 |
| c:\Users\A Azi A\Documents\App\finance\lib\main.dart                                                   | Dart     |         67 |          6 |          8 |         81 |
| c:\Users\A Azi A\Documents\App\finance\lib\models\account\account.dart                                 | Dart     |         18 |          0 |          5 |         23 |
| c:\Users\A Azi A\Documents\App\finance\lib\models\portfolio\portfolio.dart                             | Dart     |         25 |          0 |         10 |         35 |
| c:\Users\A Azi A\Documents\App\finance\lib\models\quote\quote.dart                                     | Dart     |         65 |          1 |         17 |         83 |
| c:\Users\A Azi A\Documents\App\finance\lib\models\user\user.dart                                       | Dart     |          7 |          0 |          2 |          9 |
| c:\Users\A Azi A\Documents\App\finance\lib\models\watchlist\watchlist.dart                             | Dart     |          6 |          0 |          3 |          9 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\calender.dart                                | Dart     |        295 |          2 |         46 |        343 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\calender\viewDividend.dart                            | Dart     |        274 |          0 |          5 |        279 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\home\create.dart                                      | Dart     |         99 |          0 |          9 |        108 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\home\info.dart                                        | Dart     |        153 |          3 |         17 |        173 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\home\passwordReset.dart                               | Dart     |        126 |          0 |          9 |        135 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\agreements.dart                        | Dart     |         32 |        232 |          7 |        271 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\login.dart                             | Dart     |        244 |          2 |         11 |        257 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\signup.dart                            | Dart     |        305 |          1 |         18 |        324 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\login_register\verify.dart                            | Dart     |         80 |          0 |         11 |         91 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\search\search.dart                                    | Dart     |        112 |          0 |          8 |        120 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\search\viewResult.dart                                | Dart     |        323 |          0 |         19 |        342 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\currency.dart                                | Dart     |         86 |          0 |          8 |         94 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\profile.dart                                 | Dart     |        121 |          0 |         12 |        133 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\settings.dart                                | Dart     |        214 |          1 |         16 |        231 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\settings\settingsOptionCard.dart                      | Dart     |         48 |          0 |          3 |         51 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\allocations.dart                        | Dart     |        219 |        305 |         34 |        558 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\sectorCard.dart                         | Dart     |        119 |          0 |          4 |        123 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\viewHolding.dart                        | Dart     |        305 |          0 |         18 |        323 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\viewPortfolio\viewPortfolio.dart                      | Dart     |        291 |          0 |         25 |        316 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\watchlist\watchlist.dart                              | Dart     |        158 |          0 |         19 |        177 |
| c:\Users\A Azi A\Documents\App\finance\lib\pages\wrapper.dart                                          | Dart     |        185 |          0 |         25 |        210 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\Login\authentication.dart                          | Dart     |        160 |         10 |         44 |        214 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\Network\network.dart                               | Dart     |         14 |          0 |          3 |         17 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\database\database.dart                             | Dart     |         77 |          6 |         21 |        104 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\forex\forexConversion.dart                         | Dart     |         81 |          0 |         13 |         94 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\marketbeat\marketbeat.dart                         | Dart     |        125 |         30 |         44 |        199 |
| c:\Users\A Azi A\Documents\App\finance\lib\services\yahooapi\yahoo_api_provider.dart                   | Dart     |        251 |         66 |         99 |        416 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\CustomeArcRenderer\custome_Arc_Renderer.dart         | Dart     |         35 |         19 |          4 |         58 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\ListView\cw_listview.dart            | Dart     |         42 |          0 |          9 |         51 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\botomSheet\custome_Bottom_Sheet.dart | Dart     |        144 |          0 |          7 |        151 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\button\cw_button.dart                | Dart     |        186 |          1 |         19 |        206 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\eventList.dart                 | Dart     |         69 |          0 |          4 |         73 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\holdingCard.dart               | Dart     |         80 |          0 |          4 |         84 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\portfolioCard.dart             | Dart     |         57 |          0 |          4 |         61 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\portfolioList.dart             | Dart     |         36 |          0 |          4 |         40 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\cards\searchResultCard.dart          | Dart     |         54 |          0 |          4 |         58 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\divider.dart\divider.dart            | Dart     |         15 |          0 |          5 |         20 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\loading\loading.dart                 | Dart     |         42 |          0 |         10 |         52 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\Custome_Widgets\scaffold\cw_scaffold.dart            | Dart     |        121 |          0 |         14 |        135 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\GeneralObject\generalObject.dart                     | Dart     |         43 |          0 |          6 |         49 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\TextStyle\customTextStyles.dart                      | Dart     |        124 |         12 |         30 |        166 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\ads\ad.dart                                          | Dart     |         37 |          0 |          4 |         41 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\ads\ad_helper.dart                                   | Dart     |         49 |          3 |         14 |         66 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\charts\charts.dart                                   | Dart     |        144 |          7 |          7 |        158 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\customPageRoute\customePageRoute.dart                | Dart     |         54 |          0 |         11 |         65 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\custom_scaffold\custom_navigator.dart                | Dart     |        201 |         14 |         14 |        229 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\custom_scaffold\custom_scaffold.dart                 | Dart     |        142 |         26 |         31 |        199 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\dataObject\data_object.dart                          | Dart     |         51 |          0 |         17 |         68 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\dateFormat\customeDateFormatter.dart                 | Dart     |        223 |          1 |         14 |        238 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\decoration\customDecoration.dart                     | Dart     |         65 |         12 |         13 |         90 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\disclaimers\disclaimers.dart                         | Dart     |          3 |          0 |          2 |          5 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\disclaimers\disclaimersWidget.dart                   | Dart     |         31 |          0 |          4 |         35 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\dividends\dividends.dart                             | Dart     |        159 |          0 |         13 |        172 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\earnings\earnings.dart                               | Dart     |         89 |          0 |         11 |        100 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\files\fileHandler.dart                               | Dart     |         63 |          0 |         15 |         78 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\inputDecoration\inputDecoration.dart                 | Dart     |         46 |          1 |          4 |         51 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\accountDeleted.dart                      | Dart     |         61 |          0 |          3 |         64 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\additionConfirm.dart                     | Dart     |         82 |          0 |          4 |         86 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noEvents.dart                            | Dart     |         52 |          0 |          4 |         56 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noHolding.dart                           | Dart     |         34 |          0 |          4 |         38 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPortfolio.dart                         | Dart     |         53 |          0 |          4 |         57 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noPosts.dart                             | Dart     |         44 |          0 |          4 |         48 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\noSearchResult.dart                      | Dart     |         60 |          0 |          4 |         64 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\offline.dart                             | Dart     |         56 |          0 |          3 |         59 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\removalConfirm.dart                      | Dart     |         82 |          0 |          4 |         86 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\pageLoaders\searchWelcome.dart                       | Dart     |         58 |          0 |          4 |         62 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\permissions\getPermissions.dart                      | Dart     |         42 |          0 |          8 |         50 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\printFunctions\custom_Print_Functions.dart           | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\sample\sampleData.dart                               | Dart     |         75 |          0 |         12 |         87 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\themes\themes.dart                                   | Dart     |        160 |          0 |         15 |        175 |
| c:\Users\A Azi A\Documents\App\finance\lib\shared\units\units.dart                                     | Dart     |         26 |          0 |         22 |         48 |
| Total                                                                                                  |          |      8,061 |        764 |      1,003 |      9,828 |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
