Date : 2023-03-29 17:24:21
Directory : c:\Users\A Azi A\Documents\App\finance\lib
Total : 78 files,  8061 codes, 764 comments, 1003 blanks, all 9828 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         78 |      8,061 |        764 |      1,003 |      9,828 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         78 |      8,061 |        764 |      1,003 |      9,828 |
| . (Files)                                                                                              |          1 |         67 |          6 |          8 |         81 |
| extensions                                                                                             |          1 |         71 |          3 |         14 |         88 |
| models                                                                                                 |          5 |        121 |          1 |         37 |        159 |
| models\account                                                                                         |          1 |         18 |          0 |          5 |         23 |
| models\portfolio                                                                                       |          1 |         25 |          0 |         10 |         35 |
| models\quote                                                                                           |          1 |         65 |          1 |         17 |         83 |
| models\user                                                                                            |          1 |          7 |          0 |          2 |          9 |
| models\watchlist                                                                                       |          1 |          6 |          0 |          3 |          9 |
| pages                                                                                                  |         21 |      3,789 |        546 |        324 |      4,659 |
| pages (Files)                                                                                          |          1 |        185 |          0 |         25 |        210 |
| pages\calender                                                                                         |          2 |        569 |          2 |         51 |        622 |
| pages\home                                                                                             |          3 |        378 |          3 |         35 |        416 |
| pages\login_register                                                                                   |          4 |        661 |        235 |         47 |        943 |
| pages\search                                                                                           |          2 |        435 |          0 |         27 |        462 |
| pages\settings                                                                                         |          4 |        469 |          1 |         39 |        509 |
| pages\viewPortfolio                                                                                    |          4 |        934 |        305 |         81 |      1,320 |
| pages\watchlist                                                                                        |          1 |        158 |          0 |         19 |        177 |
| services                                                                                               |          6 |        708 |        112 |        224 |      1,044 |
| services\Login                                                                                         |          1 |        160 |         10 |         44 |        214 |
| services\Network                                                                                       |          1 |         14 |          0 |          3 |         17 |
| services\database                                                                                      |          1 |         77 |          6 |         21 |        104 |
| services\forex                                                                                         |          1 |         81 |          0 |         13 |         94 |
| services\marketbeat                                                                                    |          1 |        125 |         30 |         44 |        199 |
| services\yahooapi                                                                                      |          1 |        251 |         66 |         99 |        416 |
| shared                                                                                                 |         44 |      3,305 |         96 |        396 |      3,797 |
| shared\CustomeArcRenderer                                                                              |          1 |         35 |         19 |          4 |         58 |
| shared\Custome_Widgets                                                                                 |         11 |        846 |          1 |         84 |        931 |
| shared\Custome_Widgets\ListView                                                                        |          1 |         42 |          0 |          9 |         51 |
| shared\Custome_Widgets\botomSheet                                                                      |          1 |        144 |          0 |          7 |        151 |
| shared\Custome_Widgets\button                                                                          |          1 |        186 |          1 |         19 |        206 |
| shared\Custome_Widgets\cards                                                                           |          5 |        296 |          0 |         20 |        316 |
| shared\Custome_Widgets\divider.dart                                                                    |          1 |         15 |          0 |          5 |         20 |
| shared\Custome_Widgets\loading                                                                         |          1 |         42 |          0 |         10 |         52 |
| shared\Custome_Widgets\scaffold                                                                        |          1 |        121 |          0 |         14 |        135 |
| shared\GeneralObject                                                                                   |          1 |         43 |          0 |          6 |         49 |
| shared\TextStyle                                                                                       |          1 |        124 |         12 |         30 |        166 |
| shared\ads                                                                                             |          2 |         86 |          3 |         18 |        107 |
| shared\charts                                                                                          |          1 |        144 |          7 |          7 |        158 |
| shared\customPageRoute                                                                                 |          1 |         54 |          0 |         11 |         65 |
| shared\custom_scaffold                                                                                 |          2 |        343 |         40 |         45 |        428 |
| shared\dataObject                                                                                      |          1 |         51 |          0 |         17 |         68 |
| shared\dateFormat                                                                                      |          1 |        223 |          1 |         14 |        238 |
| shared\decoration                                                                                      |          1 |         65 |         12 |         13 |         90 |
| shared\disclaimers                                                                                     |          2 |         34 |          0 |          6 |         40 |
| shared\dividends                                                                                       |          1 |        159 |          0 |         13 |        172 |
| shared\earnings                                                                                        |          1 |         89 |          0 |         11 |        100 |
| shared\files                                                                                           |          1 |         63 |          0 |         15 |         78 |
